Job Title,Company Name,Location,Start Date,CTC (Annual),Experience,Apply By,Skills Required,Perks
Academic Counselor,R&R Education Foundation,Delhi,Starts Immediately,"₹ 2,00,000 - 2,80,000                                

                        ₹ 2,00,000 - 2,80,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Interpersonal skills, MS-Excel, Sales, Sales Management","Effective Communication, Interpersonal skills, MS-Excel, Sales, Sales Management"
Telecaller,Credit Samadhaan,Indore,Starts Immediately,"₹ 4,00,000 - 7,20,000                                

                        ₹ 4,00,000 - 7,20,000 /year",0 year(s),0 year(s) experience,"Hindi Proficiency (Spoken), Sales, Sales Support, Informal dress code","Hindi Proficiency (Spoken), Sales, Sales Support"
Digital Marketing Executive,VRINDAVAN KUNJ GALI SEWA TRUST,Vrindavan,Starts Immediately,"₹ 2,00,000 - 2,30,000                                

                        ₹ 2,00,000 - 2,30,000 /year",1 year(s),1 year(s) experience,"Computer skills, Digital Advertising, Digital Design, Digital Marketing, Effective Communication, Search Engine Optimization (SEO)","Computer skills, Digital Advertising, Digital Design, Digital Marketing, Effective Communication, Search Engine Optimization (SEO)"
Real Estate Sales,Jalan Property Consultant,Kolkata,Starts Immediately,"₹ 2,00,000 - 2,00,001                                

                        ₹ 2,00,000 - 2,00,001 /year",1 year(s),1 year(s) experience,Sales,Sales
Travel & Tourism Executive,Kiomoi,Noida,Starts Immediately,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",1 year(s),1 year(s) experience,"Client Relationship, Holiday Package Design, Travel Itinerary Making, Travel Management, Informal dress code","Client Relationship, Holiday Package Design, Travel Itinerary Making, Travel Management"
Business Development Executive,Webkorps Services India Pvt. LTD,Indore,Starts Immediately,"₹ 2,70,000 - 3,00,000                                

                        ₹ 2,70,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, English Proficiency (Written), Interpersonal skills, Sales Management, 5 days a week, Cab/Transportation facility","Effective Communication, English Proficiency (Written), Interpersonal skills, Sales Management"
Customer Relationship Management ( Female),Surgenesis Hospital,"Jaipur, Heerapura",Starts Immediately,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",0 year(s),0 year(s) experience,Google Sheets,Google Sheets
Housekeeping Supervisor,Surgenesis Hospital,Jaipur,Starts Immediately,"₹ 2,41,000 - 3,01,500                                

                        ₹ 2,41,000 - 3,01,500 /year",1 year(s),1 year(s) experience,Team Management,Team Management
Hindi Translator,Plush Media,Jaipur,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",1 year(s),1 year(s) experience,"ChatGPT, Computer skills, English Proficiency (Spoken), English Proficiency (Written), Gemini, Hindi Proficiency (Spoken), Hindi Proficiency (Written), Internet, MS-Office, Typing, Informal dress code, Free snacks & beverages","ChatGPT, Computer skills, English Proficiency (Spoken), English Proficiency (Written), Gemini, Hindi Proficiency (Spoken), Hindi Proficiency (Written), Internet, MS-Office, Typing"
Associate Chartered Accountant (CA),SATTVA SUKUN LIFE CARE LIMITED,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,50,000                                

                        ₹ 3,00,000 - 3,50,000 /year",1 year(s),1 year(s) experience,"Accounting, MS-Excel, MS-Office, MS-Word, Tally, 5 days a week","Accounting, MS-Excel, MS-Office, MS-Word, Tally"
Business Development Executive,Pune Medical Coding Training Institute,Pune,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Interpersonal skills, Negotiation, Problem Solving","Effective Communication, Interpersonal skills, Negotiation, Problem Solving"
Junior Operations Executive,Anannt Training Institute,Pune,Starts Immediately,"₹ 3,00,000 - 3,50,000                                

                        ₹ 3,00,000 - 3,50,000 /year",0 year(s),0 year(s) experience,"Canva, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word","Canva, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word"
International Sales Executive,Inorbvict Healthcare India Private Limited,Pune,Starts Immediately,"₹ 3,00,000 - 3,50,000                                

                        ₹ 3,00,000 - 3,50,000 /year",1 year(s),1 year(s) experience,"Client Relationship Management (CRM), Effective Communication, MS-Excel, Sales","Client Relationship Management (CRM), Effective Communication, MS-Excel, Sales"
Executive - Label Acquisition,Saregama India Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,16,000                                

                        ₹ 2,00,000 - 2,16,000 /year",1 year(s),1 year(s) experience,"Effective Communication, MS-Excel, 5 days a week","Effective Communication, MS-Excel"
Senior Brand Manager,Gandharva Production,Mumbai,Starts Immediately,"₹ 4,00,000 - 9,00,000                                

                        ₹ 4,00,000 - 9,00,000 /year",1 year(s),1 year(s) experience,"Branding, Content Management, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Leadership, Marketing Strategies, Market research, Scheduling, Social Media Marketing, Team Management, Informal dress code, 5 days a week","Branding, Content Management, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Leadership, Marketing Strategies, Market research, Scheduling, Social Media Marketing, Team Management"
Consultant - Events Operations,BookMyShow,Mumbai,Starts Immediately,"₹ 2,40,000 - 2,80,000                                

                        ₹ 2,40,000 - 2,80,000 /year",1 year(s),1 year(s) experience,"Inventory Management, Operations, Sales, Informal dress code, 5 days a week","Inventory Management, Operations, Sales"
Junior Social Media Marketing Executive,CereOne Media Pvt. Ltd,Mumbai,Starts Immediately,"₹ 5,00,000 - 6,00,000                                

                        ₹ 5,00,000 - 6,00,000 /year",0 year(s),0 year(s) experience,"Social Media Marketing, 5 days a week, Health Insurance, Life Insurance",Social Media Marketing
Sales Manager(Fitness),Danzofit,Pune,Starts Immediately,"₹ 2,15,000 - 4,45,000                                

                        ₹ 2,15,000 - 4,45,000 /year",0 year(s),0 year(s) experience,"MS-Excel, Informal dress code",MS-Excel
Marketing & Inside Sales Executive,MyPace Learning Private Limited,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Canva, MS-Excel, Written Communication, Informal dress code, 5 days a week","Canva, MS-Excel, Written Communication"
Manager/ Assistant Manager - Secretarial Compliances,Bhat Joshi & Co. LLP,Pune,Starts Immediately,"₹ 2,40,000 - 5,40,000                                

                        ₹ 2,40,000 - 5,40,000 /year",1 year(s),1 year(s) experience,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Statutory compliances, Time Management, 5 days a week","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Statutory compliances, Time Management"
Senior Product Manager,Garekars Md LLP,"Delhi, Gurgaon",Starts Immediately,"₹ 6,00,000 - 12,00,000                                

                        ₹ 6,00,000 - 12,00,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), Product Lifecycle Management(PLM), Product Management, Free snacks & beverages","English Proficiency (Spoken), Product Lifecycle Management(PLM), Product Management"
Business Development Executive,TheCoinRepublic,"Indore, Vidisha, Hoshangabad, Bhopal, Sehore, Misrod, Mandideep",Starts Immediately,"₹ 6,00,000 - 8,00,000                                

                        ₹ 6,00,000 - 8,00,000 /year",1 year(s),1 year(s) experience,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Social Media Marketing","Digital Marketing, Email Marketing, English Proficiency (Spoken), Social Media Marketing"
Manger,WEENSY TECHNOLOGY PRIVATE LIMITED,Work from home,Starts Immediately,"₹ 12,00,000 - 14,50,000                                

                        ₹ 12,00,000 - 14,50,000 /year",0 year(s),0 year(s) experience,"Facebook Ads, 5 days a week",Facebook Ads
Junior Video Editor,Globussoft,Bhilai,Starts Immediately,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",0 year(s),0 year(s) experience,"Adobe After Effects, Adobe Illustrator, Adobe Premiere Pro, Final Cut Pro, 5 days a week","Adobe After Effects, Adobe Illustrator, Adobe Premiere Pro, Final Cut Pro"
Assistant General Manager Field Sales And Marketing,GVR ENTERPRISERS,"Khordha, Chandrasekharpur",Starts Immediately,"₹ 2,00,000 - 3,30,000                                

                        ₹ 2,00,000 - 3,30,000 /year",1 year(s),1 year(s) experience,"B2B Sales, Effective Communication, Marketing, Time Management","B2B Sales, Effective Communication, Marketing, Time Management"
Business Development Executive,Ideastack Solutions Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, English Proficiency (Spoken), Lead Generation, Negotiation","Effective Communication, English Proficiency (Spoken), Lead Generation, Negotiation"
Associate Software Tester,Finexo,Jaipur,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",1 year(s),1 year(s) experience,"Manual Testing, Software Testing, Free snacks & beverages","Manual Testing, Software Testing"
Junior Architect,Pratik Bhave,Mumbai                                            (Hybrid),Starts Immediately,"₹ 2,10,000 - 2,45,000                                

                        ₹ 2,10,000 - 2,45,000 /year",1 year(s),1 year(s) experience,"Adobe Photoshop, AutoCAD, Google SketchUp, MS-Office","Adobe Photoshop, AutoCAD, Google SketchUp, MS-Office"
Chatbot Process Executive,Vendiman Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",1 year(s),1 year(s) experience,"Effective Communication, Email Management, Email Marketing, Interpersonal skills","Effective Communication, Email Management, Email Marketing, Interpersonal skills"
Junior Civil Engineer,SPCEPMC,Mumbai                                            (Hybrid),Starts Immediately,"₹ 2,20,000 - 3,50,000                                

                        ₹ 2,20,000 - 3,50,000 /year",1 year(s),1 year(s) experience,"AutoCAD, Autodesk 3ds Max, MS-Office, Informal dress code, 5 days a week, Free snacks & beverages","AutoCAD, Autodesk 3ds Max, MS-Office"
Accountant,SPCEPMC,Mumbai,Starts Immediately,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",1 year(s),1 year(s) experience,"Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally","Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally"
Finance Associate,Renan Partners,Hyderabad,Starts Immediately,"₹ 2,00,000 - 3,50,000                                

                        ₹ 2,00,000 - 3,50,000 /year",1 year(s),1 year(s) experience,"Accounting, English Proficiency (Spoken), English Proficiency (Written), Financial Modeling, MS-Excel, MS-Office, Tally, Informal dress code, 5 days a week","Accounting, English Proficiency (Spoken), English Proficiency (Written), Financial Modeling, MS-Excel, MS-Office, Tally"
Sales And Marketing,Global BFSI Learning,Bangalore,Starts Immediately,"₹ 3,20,000 - 6,60,000                                

                        ₹ 3,20,000 - 6,60,000 /year",1 year(s),1 year(s) experience,"Customer Acquisition, English Proficiency (Spoken), Hindi Proficiency (Spoken), Lead Generation, Sales","Customer Acquisition, English Proficiency (Spoken), Hindi Proficiency (Spoken), Lead Generation, Sales"
Data Entry Associate,ASAR & SONS IMPEX LLP,Hyderabad                                            (Hybrid),Starts Immediately,"₹ 2,16,000 - 2,40,000                                

                        ₹ 2,16,000 - 2,40,000 /year",0 year(s),0 year(s) experience,MS-Office,MS-Office
Sales Associate,Webpulse Solution Private Limited,Delhi,Starts Immediately,"₹ 2,97,600 - 6,21,000                                

                        ₹ 2,97,600 - 6,21,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Informal dress code, 5 days a week, Free snacks & beverages, Health Insurance",Effective Communication
Junior Talent Acquisition Executive,Jaro Education,Mumbai,Starts Immediately,"₹ 4,60,000 - 10,00,000                                

                        ₹ 4,60,000 - 10,00,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), Human Resources, MS-Excel, Recruitment, Talent Management, Health Insurance","English Proficiency (Spoken), English Proficiency (Written), Human Resources, MS-Excel, Recruitment, Talent Management"
Junior Social Media Marketing Executive,Else Digital Private Limited,Bhopal,Starts Immediately,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",1 year(s),1 year(s) experience,"Content Writing, Search Engine Optimization (SEO), Social Media Marketing","Content Writing, Search Engine Optimization (SEO), Social Media Marketing"
Account Assistant,Saharan And Co,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",0 year(s),0 year(s) experience,Accounting,Accounting
Field Sales Executive,RAKESH MOON,"Bhandara, Chandrapur, Wardha, Nagpur                                            (Hybrid)",Starts Immediately,"₹ 2,00,000 - 2,25,000                                

                        ₹ 2,00,000 - 2,25,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Interpersonal skills","Effective Communication, Interpersonal skills"
Digital Marketing Trainer,Pune Medical Coding Training Institute,Pune,Starts Immediately,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",1 year(s),1 year(s) experience,"Digital Marketing, Effective Communication, Email Marketing, Interpersonal skills, Presentation skills, Search Engine Optimization (SEO)","Digital Marketing, Effective Communication, Email Marketing, Interpersonal skills, Presentation skills, Search Engine Optimization (SEO)"
Junior Video Editor,Colab India,Mumbai,Starts Immediately,"₹ 3,60,000 - 4,00,000                                

                        ₹ 3,60,000 - 4,00,000 /year",1 year(s),1 year(s) experience,"Adobe Premiere Pro, Blender 3D, Final Cut Pro, Video Editing, Video Making, Informal dress code, 5 days a week, Free snacks & beverages","Adobe Premiere Pro, Blender 3D, Final Cut Pro, Video Editing, Video Making"
Corporate Sales Executive,SV Creation,Mumbai,Starts Immediately,"₹ 4,00,000 - 8,00,000                                

                        ₹ 4,00,000 - 8,00,000 /year",1 year(s),1 year(s) experience,"Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), MS-Excel, Negotiations, Sales Strategy, Cab/Transportation facility","Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), MS-Excel, Negotiations, Sales Strategy"
Marketing Executives,FOURTH DIMENSION ACADEMY,Khardi                                            (Hybrid),Starts Immediately,"₹ 2,40,000 - 5,50,000                                

                        ₹ 2,40,000 - 5,50,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Leadership, Lead Generation, Informal dress code, Health Insurance","Effective Communication, Leadership, Lead Generation"
Human Resources (HR) Executive,Clipwise,Bangalore,Starts Immediately,"₹ 3,50,000 - 4,50,000                                

                        ₹ 3,50,000 - 4,50,000 /year",1 year(s),1 year(s) experience,"HR Operations, Onboarding, Recruitment","HR Operations, Onboarding, Recruitment"
Lead Generation Manager,Ravisha Aggarwal,Noida,Starts Immediately,"₹ 2,50,000 - 5,00,000                                

                        ₹ 2,50,000 - 5,00,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Lead Generation, Sales, Social Media Marketing, Free snacks & beverages","English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Lead Generation, Sales, Social Media Marketing"
Digital Marketing Executive,Amar Architecture And Designs Pvt Limited,Chennai,Starts Immediately,"₹ 3,85,000 - 5,30,000                                

                        ₹ 3,85,000 - 5,30,000 /year",1 year(s),1 year(s) experience,"Adobe Photoshop, Content Writing, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Online Reputation Management, Presentation skills, Social Media Marketing, Informal dress code, Free snacks & beverages","Adobe Photoshop, Content Writing, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Online Reputation Management, Presentation skills, Social Media Marketing"
Business Development Executive,MentorBoxx,Pune,Starts Immediately,"₹ 3,10,000 - 4,10,000                                

                        ₹ 3,10,000 - 4,10,000 /year",1 year(s),1 year(s) experience,Inside Sales,Inside Sales
EMT Trainer (Emergency Medical Technician),Lernern,Delhi,Starts Immediately,"₹ 3,60,000                                

                        ₹ 3,60,000 /year",1 year(s),1 year(s) experience,"Medical Terminology, Teaching","Medical Terminology, Teaching"
Senior Accountant,LAKSHYA COLLECTION,Gwalior,Starts Immediately,"₹ 2,00,000 - 2,30,000                                

                        ₹ 2,00,000 - 2,30,000 /year",1 year(s),1 year(s) experience,"Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally, Free snacks & beverages","Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally"
Field Sales Executive,Sanwriya Enterprises,Budaun,Starts Immediately,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",1 year(s),1 year(s) experience,"Business Development, Channel Management, English Proficiency (Spoken), Hindi Proficiency (Spoken), Lead Generation, Sales","Business Development, Channel Management, English Proficiency (Spoken), Hindi Proficiency (Spoken), Lead Generation, Sales"
Customer Acquisition Executive,YDigital,Mummidivaram,Starts Immediately,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",1 year(s),1 year(s) experience,"Effective Communication, English Proficiency (Spoken), Informal dress code","Effective Communication, English Proficiency (Spoken)"
Field Sales Executive,Sanwriya Enterprises,Budaun,Starts Immediately,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",1 year(s),1 year(s) experience,"Business Development, Channel Management, English Proficiency (Spoken), Hindi Proficiency (Spoken), Lead Generation, Sales","Business Development, Channel Management, English Proficiency (Spoken), Hindi Proficiency (Spoken), Lead Generation, Sales"
Senior Accountant,LAKSHYA COLLECTION,Gwalior,Starts Immediately,"₹ 2,00,000 - 2,30,000                                

                        ₹ 2,00,000 - 2,30,000 /year",1 year(s),1 year(s) experience,"Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally, Free snacks & beverages","Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally"
Business Development Executive,Growthify JurisAI Private Limited,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",1 year(s),1 year(s) experience,"Business Development, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Problem Solving, Sales","Business Development, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Problem Solving, Sales"
Graphic Designer,Vkare Bio Sciences Private Limited,Greater Noida West,Starts Immediately,"₹ 2,04,000 - 3,00,000                                

                        ₹ 2,04,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Capcut, CorelDRAW, Creative Direction, Creative Thinking, Graphic Design, Video Editing, Video Marketing","Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Capcut, CorelDRAW, Creative Direction, Creative Thinking, Graphic Design, Video Editing, Video Marketing"
Associate Accountant,Mantry Jarecha & Co,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 2,14,500                                

                        ₹ 2,00,000 - 2,14,500 /year",1 year(s),1 year(s) experience,"Accounting, GST, Tally, Taxation, Informal dress code","Accounting, GST, Tally, Taxation"
EMT Trainer (Emergency Medical Technician),Lernern,Delhi,Starts Immediately,"₹ 3,60,000                                

                        ₹ 3,60,000 /year",1 year(s),1 year(s) experience,"Medical Terminology, Teaching","Medical Terminology, Teaching"
Corporate Sales Executive,Qbotic Infotechnology,Bangalore,Starts Immediately,"₹ 2,05,000 - 3,50,000                                

                        ₹ 2,05,000 - 3,50,000 /year",0 year(s),0 year(s) experience,"Cold Calling, Effective Communication, MS-Excel, Sales","Cold Calling, Effective Communication, MS-Excel, Sales"
Human Resources (HR) Executive,Think EBikeGO Private Limited,Zirakpur,Starts Immediately,"₹ 4,00,000 - 5,50,000                                

                        ₹ 4,00,000 - 5,50,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), MS-Office, MS-Word, Recruitment","English Proficiency (Spoken), MS-Office, MS-Word, Recruitment"
Business Development Manager,Growthify JurisAI Private Limited,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",1 year(s),1 year(s) experience,"Business Development, Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Marketing, MS-Office, Negotiation, Sales","Business Development, Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Marketing, MS-Office, Negotiation, Sales"
Digital Marketing Manager,Growthify JurisAI Private Limited,Ahmedabad,Starts Immediately,"₹ 3,00,000                                

                        ₹ 3,00,000 /year",1 year(s),1 year(s) experience,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Paid Advertising, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing","Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Paid Advertising, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing"
Digital Marketing Associate,INCUBERS,Jaipur,Starts Immediately,"₹ 2,70,000 - 3,00,000                                

                        ₹ 2,70,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing, 5 days a week","English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing"
Telesales,Growthify JurisAI Private Limited,Ahmedabad,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Lead Generation, MS-Office, Negotiation, Problem Solving","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Lead Generation, MS-Office, Negotiation, Problem Solving"
Client Relationship Executive,Scaling Socials,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,20,000                                

                        ₹ 3,00,000 - 4,20,000 /year",1 year(s),1 year(s) experience,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, Informal dress code","Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel"
Human Resources (HR) Manager,Wehire Talent Solutions,"Mumbai, Goregaon Kh, Boriwali",Starts Immediately,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",1 year(s),1 year(s) experience,"Effective Communication, English Proficiency (Spoken), Interpersonal skills, Recruitment, Resume screening, Talent Management, Informal dress code","Effective Communication, English Proficiency (Spoken), Interpersonal skills, Recruitment, Resume screening, Talent Management"
Sales & Customer Associate,WhatAbout,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,50,000                                

                        ₹ 3,00,000 - 4,50,000 /year",0 year(s),0 year(s) experience,"Effective Communication, MS-Excel, Informal dress code, Health Insurance","Effective Communication, MS-Excel"
Merchandizing Associate,UFZ Unifabz Private Limited,Bangalore,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",0 year(s),0 year(s) experience,"Coordination, Effective Communication, Email Marketing, English Proficiency (Spoken), Interpersonal skills, MS-Office, Operations, Informal dress code","Coordination, Effective Communication, Email Marketing, English Proficiency (Spoken), Interpersonal skills, MS-Office, Operations"
Chief Of Staff,Gudgudee,Bangalore,Starts Immediately,"₹ 3,60,000 - 7,20,000                                

                        ₹ 3,60,000 - 7,20,000 /year",0 year(s),0 year(s) experience,"Coordination, Design Thinking, Effective Communication, Interpersonal skills, MS-Excel, MS-Word, Operations, Project Management, Troubleshooting, Health Insurance","Coordination, Design Thinking, Effective Communication, Interpersonal skills, MS-Excel, MS-Word, Operations, Project Management, Troubleshooting"
Customer Support Executive – International Voice (US Process),Elevate X Solutions,Pune,Starts Immediately,"₹ 5,10,000 - 6,70,000                                

                        ₹ 5,10,000 - 6,70,000 /year",1 year(s),1 year(s) experience,"Active Learning, Client Relationship Management (CRM), Effective Communication, Multitasking, Problem Solving, Time Management","Active Learning, Client Relationship Management (CRM), Effective Communication, Multitasking, Problem Solving, Time Management"
Business Development Executive,Born High Digital,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), Sales, Informal dress code, 5 days a week","English Proficiency (Spoken), Sales"
Junior Social Media Marketing Specialist,1702 Digital,Hyderabad,Starts Immediately,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",1 year(s),1 year(s) experience,"Copywriting, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing, Informal dress code","Copywriting, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing"
Agri Business Managament,The Affordable Organic Store,Hyderabad,Starts Immediately,"₹ 2,00,000 - 2,16,000                                

                        ₹ 2,00,000 - 2,16,000 /year",0 year(s),0 year(s) experience,"Effective Communication, MS-Excel, Negotiation, Operations, Problem Solving","Effective Communication, MS-Excel, Negotiation, Operations, Problem Solving"
